Year,Most Wins,Most Losses,Champion
1882,Cincinnati Red Stockings,Baltimore Orioles,Not found
1883,Philadelphia Athletics,Baltimore Orioles,Philadelphia Athletics
1884,New York Metropolitans,Pittsburgh Alleghenys,Not found
1885,St. Louis Browns,Baltimore Orioles,Chicago White Stockings
1886,St. Louis Browns,Baltimore Orioles,Not found
1887,St. Louis Browns,Cleveland Blues,Not found
1888,St. Louis Browns,Kansas City Cowboys,New York Giants
1889,Brooklyn Bridegrooms,Louisville Colonels,Not found
1890,Louisville Colonels,Philadelphia Athletics,Not found
1891,Boston Reds,Washington Senators,Not found
1901,Chicago White Sox,Milwaukee Brewers,Not found
1902,Philadelphia Athletics,Baltimore Orioles,Not found
1903,Boston Americans,Washington Senators,Not found
1904,Boston Americans,Washington Senators,New York Giants
1905,Philadelphia Athletics,St. Louis Browns,Not found
1906,Chicago White Sox,Boston Americans,Not found
1907,Detroit Tigers,Washington Senators,Not found
1908,Detroit Tigers,New York Highlanders,Not found
1909,Detroit Tigers,Washington Senators,Not found
1910,Philadelphia Athletics,St. Louis Browns,Not found
1911,Philadelphia Athletics,St. Louis Browns,Not found
1912,Boston Red Sox,New York Highlanders,Not found
1913,Philadelphia Athletics,St. Louis Browns,Not found
1914,Philadelphia Athletics,Cleveland Naps,Not found
1915,Boston Red Sox,Philadelphia Athletics,Not found
1916,Boston Red Sox,Philadelphia Athletics,Boston Red Sox
1917,Chicago White Sox,Philadelphia Athletics,Not found
1918,Boston Red Sox,Philadelphia Athletics,Not found
1919,Chicago White Sox,Philadelphia Athletics,Not found
1920,Cleveland Indians,Philadelphia Athletics,Not found
1921,New York Yankees,Philadelphia Athletics,Not found
1922,New York Yankees,Boston Red Sox,Not found
1923,New York Yankees,Boston Red Sox,Not found
1924,Washington Senators,Boston Red Sox,Not found
1925,Washington Senators,Boston Red Sox,Not found
1926,New York Yankees,Boston Red Sox,Not found
1927,New York Yankees,Boston Red Sox,Not found
1928,New York Yankees,Boston Red Sox,Not found
1929,Philadelphia Athletics,Boston Red Sox,Not found
1930,Philadelphia Athletics,Boston Red Sox,Not found
1931,Philadelphia Athletics,Chicago White Sox,Not found
1932,New York Yankees,Boston Red Sox,Not found
1933,Washington Senators,St. Louis Browns,Not found
1934,Detroit Tigers,Chicago White Sox,Not found
1935,Detroit Tigers,Philadelphia Athletics,Not found
1936,New York Yankees,Philadelphia Athletics,Not found
1937,New York Yankees,St. Louis Browns,Not found
1938,New York Yankees,Philadelphia Athletics,s after defeating the Chicago Cubs
1939,New York Yankees,St. Louis Browns,Not found
1940,Detroit Tigers,Philadelphia Athletics,Not found
1941,New York Yankees,Philadelphia Athletics,Not found
1942,New York Yankees,Philadelphia Athletics,Not found
1943,New York Yankees,Philadelphia Athletics,Not found
1944,St. Louis Browns,Washington Senators,Not found
1945,Detroit Tigers,Philadelphia Athletics,Not found
1946,Boston Red Sox,Philadelphia Athletics,Not found
1947,New York Yankees,St. Louis Browns,Not found
1948,Cleveland Indians,Chicago White Sox,Not found
1949,New York Yankees,Washington Senators,Not found
1950,New York Yankees,Philadelphia Athletics,Not found
1951,New York Yankees,St. Louis Browns,Not found
1952,New York Yankees,Detroit Tigers,Not found
1953,New York Yankees,St. Louis Browns,Not found
1954,Cleveland Indians,Philadelphia Athletics,Not found
1955,New York Yankees,Washington Senators,Not found
1956,New York Yankees,Kansas City Athletics,Not found
1957,New York Yankees,Washington Senators,Not found
1958,New York Yankees,Washington Senators,Not found
1959,Chicago White Sox,Washington Senators,Not found
1960,New York Yankees,Kansas City Athletics,Not found
1961,New York Yankees,Kansas City Athletics,Not found
1962,New York Yankees,Washington Senators,Not found
1963,New York Yankees,Washington Senators,Not found
1964,New York Yankees,Kansas City Athletics,Not found
1965,Minnesota Twins,Kansas City Athletics,Not found
1966,Baltimore Orioles,Boston Red Sox,Not found
1967,Boston Red Sox,Kansas City Athletics,Not found
1968,Detroit Tigers,Washington Senators,Not found
1969,Baltimore Orioles,Cleveland Indians,Not found
1970,Baltimore Orioles,Chicago White Sox,Not found
1971,Baltimore Orioles,Cleveland Indians,Not found
1972,Oakland Athletics,Texas Rangers,Not found
1973,Baltimore Orioles,Texas Rangers,Not found
1974,Baltimore Orioles,California Angels,Not found
1975,Oakland Athletics,Detroit Tigers,Not found
1976,New York Yankees,Chicago White Sox,Not found
1977,Kansas City Royals,Toronto Blue Jays,Not found
1978,New York Yankees,Seattle Mariners,Not found
1979,Baltimore Orioles,Toronto Blue Jays,Not found
1980,New York Yankees,Seattle Mariners,Not found
1981,1st Half,1st Half,Not found
1982,Milwaukee Brewers,Minnesota Twins,Not found
1983,Chicago White Sox,Seattle Mariners,Not found
1984,Detroit Tigers,Milwaukee Brewers,Not found
1985,Toronto Blue Jays,Cleveland Indians,Not found
1986,Boston Red Sox,Seattle Mariners,Not found
1987,Detroit Tigers,Cleveland Indians,Not found
1988,Oakland Athletics,Baltimore Orioles,Not found
1989,Oakland Athletics,Detroit Tigers,Not found
1990,Oakland Athletics,New York Yankees,Not found
1991,Minnesota Twins,Cleveland Indians,Not found
1992,Toronto Blue Jays,Seattle Mariners,Not found
1993,Toronto Blue Jays,Oakland Athletics,Not found
1994,New York Yankees,California Angels,Not found
1995,Cleveland Indians,Toronto Blue Jays,Not found
1996,Cleveland Indians,Detroit Tigers,Not found
1997,Baltimore Orioles,Oakland Athletics,Not found
1998,New York Yankees,Tampa Bay Devil Rays,Not found
1999,New York Yankees,Kansas City Royals,Not found
2000,Chicago White Sox,Minnesota Twins,Not found
2001,Seattle Mariners,Tampa Bay Devil Rays,New York Yankees
2002,New York Yankees,Tampa Bay Devil Rays,New York Yankees
2003,New York Yankees,Detroit Tigers,Not found
2004,New York Yankees,Kansas City Royals,Not found
2005,Chicago White Sox,Kansas City Royals,Not found
2006,New York Yankees,Tampa Bay Devil Rays,Not found
2007,Boston Red Sox,Tampa Bay Devil Rays,Not found
2008,Los Angeles Angels,Seattle Mariners,Not found
2009,New York Yankees,Baltimore Orioles,Not found
2010,Tampa Bay Rays,Seattle Mariners,Not found
2011,New York Yankees,Minnesota Twins,Not found
2012,New York Yankees,Minnesota Twins,Not found
2013,Boston Red Sox,Houston Astros,Not found
2014,Los Angeles Angels,Texas Rangers,Not found
2015,Kansas City Royals,Oakland Athletics,Not found
2016,Texas Rangers,Minnesota Twins,Not found
2017,Cleveland Indians,Detroit Tigers,Not found
2018,Boston Red Sox,Baltimore Orioles,Not found
2019,Houston Astros,Detroit Tigers,Not found
2020,Tampa Bay Rays,Texas Rangers,Not found
2021,Tampa Bay Rays,Baltimore Orioles,Not found
2022,Houston Astros,Oakland Athletics,Not found
2023,Baltimore Orioles,Oakland Athletics,Not found
2024,New York Yankees,Chicago White Sox,Not found
2025,Detroit Tigers,Chicago White Sox,Not found
